time,speed,gear,rpm,gas,brake
1779503638.7543755,177.7391357421875,4,12847,1.0,0.0
1779503638.8054926,178.72708129882812,4,12924,1.0,0.0
1779503638.8564887,179.75399780273438,4,12968,1.0,0.0
1779503638.9075933,180.77549743652344,4,13011,1.0,0.0
1779503638.9586499,181.64956665039062,4,13079,1.0,0.0
1779503639.0097992,182.54623413085938,4,13163,1.0,0.0
1779503639.061051,183.45538330078125,4,13223,1.0,0.0
1779503639.1122963,184.3411865234375,4,13282,1.0,0.0
1779503639.1636353,185.22727966308594,4,13340,1.0,0.0
1779503639.214523,186.0818634033203,4,13399,1.0,0.0
1779503639.2655845,186.94168090820312,4,13454,1.0,0.0
1779503639.3169227,187.8188018798828,4,13523,1.0,0.0
1779503639.3679347,188.6521453857422,4,13574,1.0,0.0
1779503639.4189117,189.4792022705078,4,13623,1.0,0.0
1779503639.4701507,189.92593383789062,5,12158,1.0,0.0
1779503639.5214953,191.93101501464844,5,11692,1.0,0.0
1779503639.572337,193.2637176513672,5,11781,1.0,0.0
1779503639.6234648,194.6198272705078,5,11852,1.0,0.0
1779503639.6745307,195.94029235839844,5,11950,1.0,0.0
1779503639.7256367,197.29847717285156,5,12018,1.0,0.0
1779503639.7768228,198.59646606445312,5,12097,1.0,0.0
1779503639.8278272,199.8744659423828,5,12153,1.0,0.0
1779503639.879141,201.0907440185547,5,12230,1.0,0.0
1779503639.930374,202.27720642089844,5,12281,1.0,0.0
1779503639.9812336,203.37899780273438,5,12362,1.0,0.0
1779503640.0326867,204.47886657714844,5,12407,1.0,0.0
1779503640.0841188,205.4983367919922,5,12474,1.0,0.0
1779503640.1351707,206.50576782226562,5,12525,1.0,0.0
1779503640.1862483,207.45623779296875,5,12573,1.0,0.0
1779503640.2369485,208.3553924560547,5,12637,1.0,0.0
1779503640.2876532,209.2653350830078,5,12665,1.0,0.0
1779503640.3390167,210.1209716796875,5,12721,1.0,0.0
1779503640.3899994,211.00332641601562,5,12755,1.0,0.0
1779503640.4414163,211.849853515625,5,12797,1.0,0.0
1779503640.4924107,212.6763153076172,5,12846,1.0,0.0
1779503640.5434196,213.49441528320312,5,12880,1.0,0.0
1779503640.5944762,214.22523498535156,5,12914,1.0,0.11140000820159912
1779503640.645515,213.91671752929688,5,12776,0.9544999599456787,0.5191500186920166
1779503640.6964424,211.35983276367188,5,12439,0.5835000276565552,0.7458999752998352
1779503640.7475107,207.4941864013672,5,12131,0.17765000462532043,0.6827999949455261
1779503640.7989068,203.19749450683594,5,11791,0.0,0.7634999752044678
1779503640.8497338,197.9280242919922,5,11380,0.0,0.871749997138977
1779503640.9004204,192.95263671875,5,11084,0.0,0.8854999542236328
1779503640.9518924,187.27294921875,5,10706,0.0,0.9399499893188477
1779503641.0028713,181.7286376953125,5,10366,0.0,0.9463499784469604
1779503641.0541036,176.32742309570312,5,10083,0.0,0.929099977016449
1779503641.1055017,171.0390625,5,9771,0.0,0.9075000286102295
1779503641.1565466,165.90699768066406,5,9481,0.0,0.9183000326156616
1779503641.2074053,160.70065307617188,5,9138,0.0,0.9355000257492065
1779503641.258237,155.5223388671875,5,8824,0.0,0.9348999857902527
1779503641.3093,150.31069946289062,5,8497,0.0,0.9513499736785889
1779503641.3604522,145.1537628173828,5,8137,0.0,0.9458500146865845
1779503641.4114602,140.0045623779297,5,7832,0.0,0.9201499819755554
1779503641.4626987,135.05848693847656,5,7526,0.0,0.9190000295639038
1779503641.5136511,130.1027374267578,5,7198,0.0,0.902999997138977
1779503641.564645,125.38105773925781,4,8273,0.800000011920929,0.8311499953269958
1779503641.6157937,120.79708862304688,4,8083,0.0,0.8108999729156494
1779503641.666611,116.44955444335938,4,7822,0.0,0.7799999713897705
1779503641.7176135,112.32744598388672,4,7625,0.0,0.7168999910354614
1779503641.768448,108.5748062133789,3,8743,0.0,0.6624500155448914
1779503641.8196208,105.09597778320312,3,8480,0.0,0.6290500164031982
1779503641.8709216,101.7798843383789,3,8218,0.0,0.618149995803833
1779503641.9217646,98.49346160888672,3,7970,0.0,0.6075000166893005
1779503641.972855,95.342041015625,1,7717,0.0,0.580049991607666
